Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,Unnamed: 7,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE,17635,1,ZYDUSWELL,ZYDUSWELL-EQ,EQ,0.05,,Zydus Wellness Limited,EQ,13-NOV-2009,10,1,INE768C01010,10
NSE,7929,1,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,0.05,,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1
NSE,3827,1,ZUARIIND,ZUARIIND-EQ,EQ,0.05,,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10,1,INE217A01012,10
NSE,29050,1,ZUARI,ZUARI-EQ,EQ,0.01,,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10,1,INE840M01016,10
NSE,11394,1,ZOTA,ZOTA-EQ,EQ,0.05,,Zota Health Care LImited,EQ,19-AUG-2019,10,1,INE358U01012,10
NSE,5097,1,ZOMATO,ZOMATO-EQ,EQ,0.05,,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1
NSE,7873,1,ZODIACLOTH,ZODIACLOTH-BE,BE,0.01,,Zodiac Clothing Company Limited,BE,27-SEP-1995,10,1,INE206B01013,10
NSE,7138,1,ZODIAC,ZODIAC-BE,BE,0.05,,Zodiac Energy Limited,BE,14-DEC-2021,10,1,INE761Y01019,10
NSE,12384,1,ZIMLAB,ZIMLAB-EQ,EQ,0.01,,Zim Laboratories Limited,EQ,25-NOV-2022,10,1,INE518E01015,10
NSE,16915,1,ZFCVINDIA,ZFCVINDIA-EQ,EQ,0.05,,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5
NSE,7508,1,ZENTEC,ZENTEC-EQ,EQ,0.05,,Zen Technologies Limited,EQ,30-MAR-2015,1,1,INE251B01027,1
NSE,1076,1,ZENSARTECH,ZENSARTECH-EQ,EQ,0.05,,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2
NSE,14566,1,ZENITHSTL,ZENITHSTL-BE,BE,0.01,,Zenith Steel Pipes & Industries Limited,BE,30-APR-2007,10,1,INE318D01020,10
NSE,8802,1,ZENITHEXPO,ZENITHEXPO-BE,BE,0.05,,Zenith Exports Limited,BE,10-JUL-1996,10,1,INE058B01018,10
NSE,14003,1,ZEEMEDIA,ZEEMEDIA-EQ,EQ,0.01,,Zee Media Corporation Limited,EQ,10-JAN-2007,1,1,INE966H01019,1
NSE,20856,1,ZEELEARN,ZEELEARN-BE,BE,0.01,,Zee Learn Limited,BE,20-DEC-2010,1,1,INE565L01011,1
NSE,3812,1,ZEEL,ZEEL-EQ,EQ,0.01,,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1
NSE,18608,1,ZAGGLE,ZAGGLE-EQ,EQ,0.05,,Zaggle Prepaid Ocean Services Limited,EQ,22-SEP-2023,1,1,INE07K301024,1
NSE,5501,1,YUKEN,YUKEN-EQ,EQ,0.05,,Yuken India Limited,EQ,02-SEP-2021,10,1,INE384C01016,10
NSE,11915,1,YESBANK,YESBANK-EQ,EQ,0.01,,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2
NSE,18760,1,YATRA,YATRA-EQ,EQ,0.01,,Yatra Online Limited,EQ,28-SEP-2023,1,1,INE0JR601024,1
NSE,17738,1,YATHARTH,YATHARTH-EQ,EQ,0.05,,Yatharth Hospital & Trauma Care Services Limited,EQ,07-AUG-2023,10,1,INE0JO301016,10
NSE,18131,1,YASHO,YASHO-EQ,EQ,0.05,,Yasho Industries Limited,EQ,21-AUG-2023,10,1,INE616Z01012,10
NSE,25003,1,YAARI,YAARI-BE,BE,0.01,,Yaari Digital Integrated Services Limited,BE,18-AUG-2011,2,1,INE126M01010,2
NSE,11407,1,XPROINDIA,XPROINDIA-EQ,EQ,0.05,,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
NSE,8477,1,XELPMOC,XELPMOC-EQ,EQ,0.01,,Xelpmoc Design And Tech Limited,EQ,04-FEB-2019,10,1,INE01P501012,10
NSE,11705,1,XCHANGING,XCHANGING-EQ,EQ,0.01,,Xchanging Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10
NSE,3799,1,WSTCSTPAPR,WSTCSTPAPR-EQ,EQ,0.05,,West Coast Paper Mills Limited,EQ,17-JAN-2001,2,1,INE976A01021,2
NSE,14828,1,WSI,WSI-EQ,EQ,0.01,,W S Industries (I) Limited,EQ,01-AUG-2007,10,1,INE100D01014,10
NSE,22277,1,WORTH,WORTH-EQ,EQ,0.01,,Worth Peripherals Limited,EQ,04-AUG-2020,10,1,INE196Y01018,10
NSE,3002,1,WONDERLA,WONDERLA-EQ,EQ,0.05,,Wonderla Holidays Limited,EQ,09-MAY-2014,10,1,INE066O01014,10
NSE,7497,1,WOCKPHARMA,WOCKPHARMA-BE,BE,0.05,,Wockhardt Limited,BE,23-FEB-2000,5,1,INE049B01025,5
NSE,3787,1,WIPRO,WIPRO-EQ,EQ,0.05,,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2
NSE,20491,1,WIPL,WIPL-BE,BE,0.01,,The Western India Plywoods Limited,BE,17-APR-2017,10,1,INE215F01023,10
